Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      226     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      159     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00      113     0.00     0.00  Edge::Edge()
  0.00      0.00     0.00      113     0.00     0.00  NodeEdge::NodeEdge()
  0.00      0.00     0.00      113     0.00     0.00  std::vector<long, std::allocator<long> >::operator[](unsigned long)
  0.00      0.00     0.00      113     0.00     0.00  void std::_Construct<Edge>(Edge*)
  0.00      0.00     0.00      113     0.00     0.00  void std::_Construct<NodeEdge>(NodeEdge*)
  0.00      0.00     0.00      113     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00      0.00     0.00      113     0.00     0.00  NodeEdge* std::__addressof<NodeEdge>(NodeEdge&)
  0.00      0.00     0.00       40     0.00     0.00  std::__shared_ptr<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> >, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00       40     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.00     0.00       38     0.00     0.00  std::_Deque_iterator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2&, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::_Deque_iterator(std::_Deque_iterator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2&, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*> const&)
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::new_allocator()
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::~new_allocator()
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.00     0.00       32     0.00     0.00  std::_Deque_base<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node, std::allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node> >::_M_get_Tp_allocator() const
